Transaction Date,Description,Amount
2024-01-01,EMPLOYER DIRECT DEPOSIT,2075.9
2024-01-01,PRE-AUTH RENT PAYMENT,1750.0
2024-01-01,PRESTO TRANSIT TORONTO,156.0
2024-01-01,EARLS KITCHEN + BAR,66.5
2024-01-02,ROGERS WIRELESS,67.7
2024-01-02,UBER* TRIP,11.07
2024-01-03,NETFLIX.COM,15.99
2024-01-03,SPOTIFY P1A8F2,11.99
2024-01-03,JACK ASTORS BAR,71.96
2024-01-04,UBER* TRIP,21.28
2024-01-05,AMAZON PRIME CA,9.99
2024-01-05,JACK ASTORS BAR,47.71
2024-01-05,TIM HORTONS #0442,9.24
2024-01-07,APPLE.COM/BILL,3.99
2024-01-08,YOUTUBE PREMIUM,13.99
2024-01-08,MONTANAS TORONTO,47.23
2024-01-08,BALZACS COFFEE TORONTO,5.13
2024-01-08,SHELL STN 0442 TORONTO,75.43
2024-01-09,THE ORDINARY ONLINE,49.57
2024-01-09,STUDIO 44 SALON TORONTO,90.92
2024-01-10,DUOLINGO PLUS,8.99
2024-01-10,DOORDASH*PAD THAI EXPRESS,43.5
2024-01-12,ZARA TORONTO,127.38
2024-01-13,CHIPOTLE YONGE ST,31.77
2024-01-13,STARBUCKS #1042,9.04
2024-01-13,STARBUCKS #1042,4.67
2024-01-14,AROMA ESPRESSO BAR,4.9
2024-01-14,TIM HORTONS #0442,5.34
2024-01-15,EMPLOYER DIRECT DEPOSIT,2118.53
2024-01-16,THE REX JAZZ BAR,33.48
2024-01-16,AMAZON.CA*P9X1Z,65.41
2024-01-17,H&M QUEEN ST W,20.2
2024-01-17,UBER* TRIP,31.14
2024-01-18,ADOBE CC PLAN,29.99
2024-01-18,AROMA ESPRESSO BAR,8.19
2024-01-20,HEADSPACE APP,12.99
2024-01-20,ROGERS INTERNET,74.99
2024-01-20,AROMA ESPRESSO BAR,7.18
2024-01-22,GOODLIFE FITNESS,44.99
2024-01-24,FRESHCO #441,105.5
2024-01-24,BALZACS COFFEE TORONTO,8.15
2024-01-25,METRO INC ON,100.95
2024-01-25,FRESHCO #441,104.77
2024-01-25,TIM HORTONS #0442,4.48
2024-01-25,UBER* TRIP,13.78
2024-01-26,STARBUCKS #8834,6.34
2024-01-26,BALZACS COFFEE TORONTO,6.56
2024-01-26,LCBO #0882,25.41
2024-01-26,LCBO #1192,17.93
2024-01-27,UBER* TRIP,24.34
2024-02-01,EMPLOYER DIRECT DEPOSIT,2118.41
2024-02-01,PRE-AUTH RENT PAYMENT,1750.0
2024-02-01,PRESTO TRANSIT TORONTO,156.0
2024-02-01,TIM HORTONS #2291,9.35
2024-02-02,ROGERS WIRELESS,66.76
2024-02-02,BALZACS COFFEE TORONTO,5.68
2024-02-03,NETFLIX.COM,15.99
2024-02-03,SPOTIFY P1A8F2,11.99
2024-02-03,UBER* TRIP,25.61
2024-02-04,ARITZIA TORONTO,29.98
2024-02-05,AMAZON PRIME CA,9.99
2024-02-07,APPLE.COM/BILL,3.99
2024-02-07,SECOND CUP TORONTO,9.02
2024-02-08,YOUTUBE PREMIUM,13.99
2024-02-08,UBER EATS*SUSHI MOTO,29.8
2024-02-08,CHIPOTLE YONGE ST,28.88
2024-02-10,DUOLINGO PLUS,8.99
2024-02-10,FRESHCO #441,103.9
2024-02-10,DOWNTOWN DENTAL CENTRE,117.85
2024-02-11,DOORDASH*PAD THAI EXPRESS,35.77
2024-02-11,UBER* TRIP,28.53
2024-02-12,SHELL STN 0442 TORONTO,75.37
2024-02-13,FRESHCO #441,78.8
2024-02-13,AROMA ESPRESSO BAR,7.48
2024-02-13,BALZACS COFFEE TORONTO,5.41
2024-02-14,STARBUCKS #8834,8.32
2024-02-15,EMPLOYER DIRECT DEPOSIT,2134.93
2024-02-15,TERRACOTTA TORONTO,64.06
2024-02-15,AROMA ESPRESSO BAR,5.33
2024-02-15,REXALL #0441,17.51
2024-02-16,REXALL #0441,62.21
2024-02-17,LOCAL PUBLIC EATERY,32.55
2024-02-18,ADOBE CC PLAN,29.99
2024-02-20,HEADSPACE APP,12.99
2024-02-20,ROGERS INTERNET,74.99
2024-02-20,FRESHCO #441,90.33
2024-02-20,UBER* TRIP,24.38
2024-02-21,LCBO #0442,37.28
2024-02-22,GOODLIFE FITNESS,44.99
2024-02-22,SECOND CUP TORONTO,5.25
