restaurant,review,rating,date
PAI,"Pretty good food, not blow your socks off, but good.",4,02/19/2026
PAI,Great food and huge variety.,5,02/19/2026
PAI,Really good I recommend the khao soi,5,02/19/2026
PAI,"Consistently good. Good portion sizes, great flavours. We have been here many times and have tried various things, and we have never been disappointed.",5,02/18/2026
PAI,"I would give 5 stars if they make a better Mango sticky rice. I ordered Thai milk tea, papaya salad, khao san. Thai milk tea is so goood, 1000/10, strong tea and sweet enough. Papaya salad 1000/10, strong flavor, good combination with all topping, authentic taste. Khao san 10/10, I wish they have a fresh coconut cream for this dish as it still tastes a canned coconut cream, but it makes sense as we do not have a fresh coconut here. Mango sticky rice, I am so sorry but I think it can be much better, the coconut cream is tasteless, mango is not sweet (I can understand for the mango, but for the coconut cream, it makes me feel disappointed, especially for a place with a Michelin star.",5,02/18/2026
PAI,The epitome of great.,3,02/18/2026
PAI,Peerless performance.,4,02/18/2026
PAI,Great food and incredibly quick service. Staff were nice and made good recommendations.,5,02/18/2026
PAI,"Pad Thai + Khao Soi = Perfection. 🍜 Everything was so delicious. Toronto, I’ll be back for this for sure! 10/10 would recommend.",5,02/17/2026
PAI,The whole experience was great.,4,02/16/2026
PAI,"We came here on a weekday evening and were pleasantly surprised by the atmosphere and vibes! We ordered the Beef Khao Soi (definitely our favorite!!) and Chicken Pad See Ew, with Mango Sticky Rice for dessert, everything was delicious - will definitely be coming back to try more of their dishes!",5,02/16/2026
PAI,"We had a great meal here, no reservation but they seated us straight away.<br>The food was delicious, mocktails were great.",5,02/16/2026
PAI,"Wish I would've had an opportunity to taste and rate their food. Unfortunately, while busy, they play games if you're a single diner. I waited patiently in line and was willing to be accommodating as they were busy. As the hostess started to seat me, another employee stopped her and had me wait to the side, then proceeded to seat another couple while I stood in the corner to wait at their convenience. If you're busy and need time to catch up, that's fine, but DO NOT seat other patrons while making others wait for no reason. Fwiw, the couple that got seated had been standing behind me the entire time as well and were not on any kind of reservation or wait list. VERY poor service and showed they only care about serving some, not all. If you're going to be by yourself there, beware they don't value your business like they do bigger parties.",1,02/15/2026
PAI,"The best Thai food in Toronto, order the Pad Gra Prow with OmniPork (it’s vegetarian but perfect for meat eaters too! Can also be made Vegan)<br><br>EJ is the server you want! Super fun to talk to and doesn’t miss any details!",5,02/15/2026
PAI,Really great server Mayne!,5,02/15/2026
PAI,Staff is always great!,4,02/15/2026
PAI,In a class by itself.,3,02/15/2026
PAI,I plan my week around it.,3,02/15/2026
PAI,Miles ahead of the competition.,4,02/15/2026
PAI,Go here for the vibe!,4,02/15/2026
PAI,"Visited as a tourist to try this popular spot. SOM TUM TAD (Papaya Salad) was good, but Pad Thai and Chiang Mai Braised Beef Noodle Soup were just average—the soup was too thick for me. Lowry cocktail was refreshing but not surprising, and Mango Sticky Rice was also nothing special.<br><br>Had to wait 20 mins to be seated even though tables were available. Some hits, some misses.",4,02/15/2026
PAI,"Always impressed here.<br><br>Delicious food, high quality ingredients, staff are courteous.",5,02/15/2026
PAI,"Have been going to PAI for over 10 years now. Delicious Thai food and my personal favourites are the pad gra pow and pad see ew. I typically go for curries but I find sometimes PAI’s curries lack the traditional spicy and flavour I love in Thai dishes, even when I ask for a spicer level. Otherwise a consistent staple in Toronto I always tell my friends and visitors to check out.",4,02/14/2026
PAI,Always good.  Been here many times always getting something new and I always love it!,5,02/07/2026
PAI,Their pad thai is very good!,5,02/04/2026
PAI,"Food & service are good.<br>Atmosphere is noisy, literally had to yell when talking so other people might heard you.",5,02/04/2026
PAI,"10/10 recommend. Have been here twice, tried 5 different dishes and all were spectacular. It’s also a fun vibe and good prices.",5,02/02/2026
PAI,"I’ve been coming to PAI for years and while most of the food is consistently good, their Pad gra pow has been quite disappointing this time. The beef was underwhelming and the sauce was mediocre. It just seemed rushed.",3,02/02/2026
PAI,"Overall Rating: 7.5/10<br><br>The vibe and service here were great. It feels like a cool underground bar and the music was solid.<br><br>I ordered the Mussaman Curry with beef and it was okay but not the best. There wasn't enough beef and the flavor was a bit underwhelming for me since I prefer it to be sweeter.<br><br>On the other hand, the Mango Sticky Rice was incredible. It was super fresh and one of the best I’ve ever had. Definitely a 9.5/10 for the dessert.<br><br>The bathroom situation was pretty bad. There is no separation between the urinals and it just felt low quality. 4/10 on that front.<br><br>I’d come back for the music and the sticky rice, but I’d probably try a different curry next time.",4,02/01/2026
PAI,"This restaurant was only list to try but it was always busy never had reservations on open table as well.<br><br>Finally last weekend I went it was buzzing at 7 pm and it was jam packed. As soon as you walk in it does you give you that vibe of Thailand pubs and they had wonderful decor inside from paintings and posters hanging on unfinished and rustic walls.<br><br>We had to wait for 30 minutes but we order khao soi, chiang mai noodles and gaeng panang curry and for drinks I got the good old Thai singha beer and tried their OG sangria. The drinks were good but the dishes blew me away and I was speechless. There is a reason why this place is on Michelin guide. Khao soi was so creamy and you could taste a sweet coconuts taste along with fishy paste taste as well and noodles were perfectly cooked along with tender meet.<br><br>Same with chiang mai noodles only thing is all 3 dishes had sweet after taste but I guess that’s just how Thai food is. Will be definitely back to try other dishes soon.",5,02/01/2026
PAI,I found hair in my curry 🤢,2,01/30/2026
PAI,Best Thai Food!!! Ordered the Masaman curry which is now my new favorite!!,5,01/30/2026
PAI,"Had an incredible experience at Pai. The food was packed with bold, warming flavors that felt just right for the weather. The meat was perfectly cooked, tender and full of flavor. Add to that a 10/10 vibe, and it’s easily a place I’d recommend!!",5,01/26/2026
PAI,You will probably need to wait for a seat but the food is worth it! Easily one of the best places to eat in Toronto at affordable prices.,5,01/25/2026
PAI,"The whole night was amazing.<br>The food is really good and i'll return.<br>The portion are huge, the quality is good and the price is nice.<br><br>If you are looking for a nice Thai restaurant you found it ✨",5,01/24/2026
PAI,"i love this place, food was amazing and honestly one of my favourite servers i've ever had. jade was incredble, taking everyone i know there, hope we get her again!!!",5,01/20/2026
PAI,Great food. Quick service. The Thai riceberry didn't sit well in my stomach. Probably won't have again but the pad Thai was delicious and the pork skewers too. This place gets really busy on a Friday night. Make sure you book reservations on open table to secure your spot. This place does not take any cash. It's a credit only place.,4,01/20/2026
PAI,"Great food, but our server Jade G was so moody after we tipped 18%??",2,01/19/2026
PAI,"Best Pad Thai in my opinion. We also had the flavorful spring rolls and BBQ skewers for the appetizers. Our first time there, and would definitely go back. The place is huge, and the staff were always busy - a little too busy. Quite a fast paced experience.",5,01/19/2026
PAI,"Decided to try something new as I’ve never had a bad meal at PAI. I asked the waiter about the KHAO PLA TAWT 'FRIED FISH' and she said it was really good. I got it and it did not disappoint.<br><br>The fish was perfectly fried. The batter was flavourful, crispy, and light. It wasn’t greasy and the fish was nice and flaky. The green curry sauce was delicious and had a little bit of spice. Would recommend if you’re looking to try something new and different.",5,01/19/2026
PAI,"Came here for a work dinner and had a fantastic time. The restaurant was really great at making accomodations for the different dietary needs, and the food came out quickly, hot and really generous portions. We had so many leftovers but they were all delicious. The curries have so much depth of flavour, definitely recommended for others to try. Just make sure you get there early or making reservations if you can, or book the private area, it gets busy!",5,01/18/2026
PAI,"Great atmosphere and amazing Thai dishes.<br>The service is quick and the food arrives fresh and piping hot.<br>Kudos to our server Nathan V for making the dinner experience extra enjoyable. He was professional, courteous, and very helpful throughout.",5,01/17/2026
